Year,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,StREM,StREM Rank,StROE,StROE Rank,StRDE,StRDE Rank,StRT+,StRT+ Rank,Barthag-AN,AN Rank,Barthag-H,AN-H AVG,ANH Rank,Barthag-Mom,Mom Rank,Barthag-N,NonCon Rank,AB6R,champfilter,champfilter rank,powerfilter,powerfilter rank,DV1,DV2,RPPF,RPPF Rank,INDEX Rank,Wins,tempname,Seed,Region,YEAR
2024,Connecticut,66.2316,299,64.4286,329,122.708,1,126.616,1,97.6459,27,94.4034,11,32.213,1,0.486363005,2,1061799.277,6,21.82302604,21,11.5,8,0.9612,1,0.9766,0.9689,2,0.9709,2,0.9644,4,4.583333333,4.768345124,1,4.730450339,1,0.9612,0.9689,0.985870624,1,1,6,Connecticut,1,E,2024
2024,Purdue,68.986,144,67.356,175,119.453,4,125.096,3,100.728,71,95.9756,21,29.1203,3,0.42212043,3,1079562.55,4,21.51277194,15,9,7,0.9528,2,0.9782,0.9655,3,0.9323,9,0.9792,2,5,5.247691016,2,5.178663905,2,0.94371681,0.954636144,0.979351937,2,2,5,Purdue,1,M,2024
2024,Auburn,70.7902,56,69.6548,61,117.522,11,120.785,10,96.0468,8,92.3794,5,28.4052,4,0.401264582,4,1032759.376,8,19.72182406,3,3.5,2,0.9468,4,0.9673,0.95705,4,0.9508,5,0.9527,7,5.25,5.544993663,3,5.485606813,3,0.932620402,0.939494742,0.973914932,3,3,0,Auburn,4,E,2024
2024,Arizona,73.376,11,71.8119,16,117.653,10,121.154,8,96.9086,17,94.5262,12,26.6282,6,0.362895225,8,1077034.333,5,19.73919721,4,6,5,0.9272,7,0.9731,0.95015,6,0.955,4,0.9688,3,5.333333333,5.752085131,4,5.613148801,4,0.909971228,0.930045432,0.967200926,4,4,2,Arizona,2,W,2024
2024,Houston,64.1588,351,63.2428,348,113.057,33,118.889,17,88.2881,1,87.1658,2,31.7235,2,0.494448151,1,906858.6101,44,19.82885149,6,3.5,2,0.9521,3,0.9932,0.97265,1,0.9374,8,0.9872,1,9.75,10.24052095,5,10.0241608,5,0.88203766,0.88549966,0.951777511,5,5,2,Houston,1,S,2024
2024,North Carolina,71.4602,41,70.4215,43,113.459,31,117.813,24,97.8323,28,93.1602,6,24.6523,9,0.34498644,9,991860.6421,15,19.80178917,5,7,6,0.9219,9,0.9411,0.9315,7,0.9242,13,0.9232,13,10.66666667,11.5703077,6,11.45106459,6,0.843696198,0.834045872,0.932133421,6,6,2,North Carolina,1,W,2024
2024,Iowa St.,68.1713,199,67.3114,180,110.446,75,113.868,55,89.9131,2,87.1363,1,26.7314,5,0.392125425,5,883903.7192,66,18.65163929,1,3,1,0.932,6,0.9735,0.95275,5,0.9743,1,0.9367,10,15,16.0944206,11,15.74389924,11,0.825249264,0.819790216,0.924822808,7,7,2,Iowa St.,2,E,2024
2024,Duke,67.7309,225,66.6517,230,118.229,7,121.843,7,99.4864,41,96.9585,26,24.8843,8,0.367402471,7,1005513.75,12,22.27155674,30,18.5,13,0.9256,8,0.9198,0.9227,11,0.9264,10,0.9134,18,12.75,13.77484875,7,13.81814241,9,0.832437105,0.806988087,0.923558997,8,8,3,Duke,4,S,2024
2024,Marquette,69.3264,123,68.9535,91,112.444,45,118.341,21,100.601,67,95.6054,19,22.7358,12,0.327950103,13,970887.9663,20,21.27517926,11,12,9,0.906,14,0.9534,0.9297,8,0.9163,15,0.9435,9,12.83333333,14.16482708,9,13.80373597,8,0.812538294,0.813216275,0.920470756,9,9,2,Marquette,2,S,2024
2024,Tennessee,70.591,65,69.1808,79,112.545,43,117.058,28,96.0253,7,91.0904,3,25.9673,7,0.367859925,6,967278.4975,21,19.33779004,2,4,4,0.8863,17,0.9708,0.92855,9,0.8886,24,0.9357,11,12.5,14.10357667,8,13.46184912,7,0.79521505,0.814760593,0.916886808,10,10,3,Tennessee,2,M,2024
2024,Illinois,70.6245,63,69.8344,57,118.321,6,124.811,4,103.332,128,101.038,81,23.7735,10,0.336611233,11,1100173.328,3,22.81498562,51,31,24,0.933,5,0.9079,0.92045,12,0.9249,12,0.8917,26,15.83333333,16.97034655,12,17.20173104,12,0.821768218,0.783279019,0.915763077,11,11,3,Illinois,3,E,2024
2024,Creighton,67.9754,213,67.0035,207,116.365,18,120.099,12,100.617,68,96.7005,24,23.3984,11,0.344220115,10,980461.5217,16,22.09704396,28,19,14,0.9069,13,0.9437,0.9253,10,0.9046,18,0.926,12,14.16666667,15.62097989,10,15.3103498,10,0.805425439,0.798954844,0.915610845,12,12,2,Creighton,3,M,2024
