Rating Column,Success Rate (%)
StREM,67.1957672
AN-H AVG,67.1957672
StREM Rank,67.1957672
ANH Rank,67.1957672
DV1,67.06349206
RPPF,66.7989418
RPPF Rank,66.7989418
AN Rank,66.66666667
Barthag-AN,66.66666667
RankAdjOE,66.26984127
AB6R,66.26984127
powerfilter,66.26984127
powerfilter rank,66.26984127
AdjOE,66.26984127
RankAdjEM,66.00529101
champfilter,66.00529101
champfilter rank,66.00529101
INDEX Rank,66.00529101
AdjEM,66.00529101
Barthag-H,65.87301587
Mom Rank,65.74074074
Barthag-Mom,65.74074074
DV2,65.60846561
NonCon Rank,64.81481481
Barthag-N,64.81481481
StROE Rank,63.35978836
StROE,63.35978836
AdjDE,62.16931217
RankAdjDE,62.16931217
StRT+,61.9047619
StRT+ Rank,61.9047619
RankOE,60.97883598
OE,60.97883598
StRDE,59.39153439
StRDE Rank,59.39153439
YEAR,58.99470899
DE,55.42328042
RankDE,55.42328042
AdjTempo,52.11640212
RankAdjTempo,52.11640212
Tempo,51.45502646
RankTempo,51.45502646
