Rating Column,RPPF Upset Success Rate (%),,,,,
DE,42.99065421,,Tempo,54.20560748,,"means that in 42.99% of RPPF-based upsets, the winning (lower RPPF-rated) team had a higher DE value than the losing team."
RankDE,42.99065421,,AdjTempo,54.20560748,,
RankOE,37.38317757,,RankTempo,45.79439252,,
OE,37.38317757,,RankAdjTempo,45.79439252,,
AdjOE,30.8411215,,,,,
RankAdjOE,30.8411215,,,,,
StROE Rank,27.10280374,,,,,
StROE,27.10280374,,,,,
AdjDE,26.1682243,,,,,
RankAdjDE,26.1682243,,,,,
StRDE,25.23364486,,,,,
StRDE Rank,25.23364486,,,,,
Mom Rank,25.23364486,,,,,
Barthag-Mom,25.23364486,,,,,
Barthag-H,18.69158879,,,,,
NonCon Rank,14.95327103,,,,,
Barthag-N,14.95327103,,,,,
StREM Rank,14.01869159,,,,,
StREM,14.01869159,,,,,
StRT+,13.08411215,,,,,
StRT+ Rank,13.08411215,,,,,
AN Rank,11.21495327,,,,,
Barthag-AN,11.21495327,,,,,
AdjEM,10.28037383,,,,,
RankAdjEM,10.28037383,,,,,
ANH Rank,8.411214953,,,,,
AN-H AVG,8.411214953,,,,,
AB6R,6.542056075,,,,,
powerfilter,6.542056075,,,,,
powerfilter rank,6.542056075,,,,,
champfilter,4.672897196,,,,,
champfilter rank,4.672897196,,,,,
DV2,1.869158879,,,,,
INDEX Rank,0.934579439,,,,,
DV1,0.934579439,,,,,
