Year,Team,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,StREM,StROE,StRDE,Barthag-AN,Barthag-H,AN-H AVG,Barthag-Mom,Barthag-N,DV1,DV2,RPPF,Wins
2024,Connecticut,66.2316,64.4286,122.708,126.616,97.6459,94.4034,32.213,0.486363005,1061799.277,21.82302604,0.9612,0.9766,0.9689,0.9709,0.9644,0.9612,0.9689,0.985870624,6
2024,Purdue,68.986,67.356,119.453,125.096,100.728,95.9756,29.1203,0.42212043,1079562.55,21.51277194,0.9528,0.9782,0.9655,0.9323,0.9792,0.94371681,0.954636144,0.979351937,5
2024,Auburn,70.7902,69.6548,117.522,120.785,96.0468,92.3794,28.4052,0.401264582,1032759.376,19.72182406,0.9468,0.9673,0.95705,0.9508,0.9527,0.932620402,0.939494742,0.973914932,0
2024,Arizona,73.376,71.8119,117.653,121.154,96.9086,94.5262,26.6282,0.362895225,1077034.333,19.73919721,0.9272,0.9731,0.95015,0.955,0.9688,0.909971228,0.930045432,0.967200926,2
2024,Houston,64.1588,63.2428,113.057,118.889,88.2881,87.1658,31.7235,0.494448151,906858.6101,19.82885149,0.9521,0.9932,0.97265,0.9374,0.9872,0.88203766,0.88549966,0.951777511,2
2024,North Carolina,71.4602,70.4215,113.459,117.813,97.8323,93.1602,24.6523,0.34498644,991860.6421,19.80178917,0.9219,0.9411,0.9315,0.9242,0.9232,0.843696198,0.834045872,0.932133421,2
2024,Iowa St.,68.1713,67.3114,110.446,113.868,89.9131,87.1363,26.7314,0.392125425,883903.7192,18.65163929,0.932,0.9735,0.95275,0.9743,0.9367,0.825249264,0.819790216,0.924822808,2
2024,Duke,67.7309,66.6517,118.229,121.843,99.4864,96.9585,24.8843,0.367402471,1005513.75,22.27155674,0.9256,0.9198,0.9227,0.9264,0.9134,0.832437105,0.806988087,0.923558997,3
2024,Marquette,69.3264,68.9535,112.444,118.341,100.601,95.6054,22.7358,0.327950103,970887.9663,21.27517926,0.906,0.9534,0.9297,0.9163,0.9435,0.812538294,0.813216275,0.920470756,2
2024,Tennessee,70.591,69.1808,112.545,117.058,96.0253,91.0904,25.9673,0.367859925,967278.4975,19.33779004,0.8863,0.9708,0.92855,0.8886,0.9357,0.79521505,0.814760593,0.916886808,3
2024,Illinois,70.6245,69.8344,118.321,124.811,103.332,101.038,23.7735,0.336611233,1100173.328,22.81498562,0.933,0.9079,0.92045,0.9249,0.8917,0.821768218,0.783279019,0.915763077,3
2024,Creighton,67.9754,67.0035,116.365,120.099,100.617,96.7005,23.3984,0.344220115,980461.5217,22.09704396,0.9069,0.9437,0.9253,0.9046,0.926,0.805425439,0.798954844,0.915610845,2
2024,Gonzaga,69.7948,69.0664,119.756,121.006,99.6295,99.4227,21.5838,0.30923937,1021967.011,22.49851313,0.9205,0.8957,0.9081,0.9449,0.9073,0.810093009,0.771974805,0.910495995,2
2024,Kentucky,74.0625,72.6174,119.233,122.733,106.076,102.702,20.0309,0.270460759,1115632.269,22.3320131,0.9079,0.8749,0.8914,0.9409,0.8734,0.782732132,0.73809581,0.896231151,0
2024,Alabama,74.1625,72.6359,121.712,125.547,108.031,103.049,22.4971,0.303360863,1168952.974,22.42258553,0.8652,0.9576,0.9114,0.7916,0.957,0.734393859,0.746647468,0.886777923,4
2024,New Mexico,72.4265,72.6546,112.623,115.429,98.1694,96.4842,18.9445,0.261572767,965000.1147,20.66485784,0.8856,0.8975,0.89155,0.9263,0.8828,0.750288168,0.724543024,0.885288713,0
2024,Baylor,66.8428,65.5843,117.262,122.481,104.166,100.173,22.3082,0.333738264,1002748.638,23.7764195,0.8666,0.9428,0.9047,0.8761,0.9221,0.729113309,0.732196427,0.88203316,1
2024,BYU,70.0246,69.0325,116.926,120.501,99.9495,99.4887,21.0128,0.300070261,1016791.574,22.44850238,0.8642,0.9468,0.9055,0.8015,0.949,0.726892454,0.73292486,0.881672725,0
2024,Saint Mary's,63.3514,61.9209,114.915,114.925,93.5732,95.0284,19.8965,0.31406725,836729.8097,23.05734249,0.913,0.9153,0.91415,0.9624,0.8722,0.743738296,0.706869689,0.87944367,0
2024,Michigan St.,66.3965,65.1652,109.535,113.824,99.3536,93.7966,20.0276,0.301633369,860226.6119,21.54538043,0.8791,0.9261,0.9026,0.8809,0.9612,0.727700339,0.714310745,0.877355173,1
2024,Wisconsin,65.7015,65.1006,112.711,119.581,103.809,98.8026,20.7781,0.316254576,939506.1918,23.66214505,0.8821,0.9216,0.90185,0.8743,0.8599,0.721423628,0.70265784,0.872975259,0
