Rating Column,RPPF Upset Success Rate (%)
Tempo,45.794392523364486
RankTempo,54.20560747663551
AdjTempo,45.794392523364486
RankAdjTempo,54.20560747663551
OE,37.38317757009346
RankOE,62.616822429906534
AdjOE,30.8411214953271
RankAdjOE,69.1588785046729
DE,57.009345794392516
RankDE,57.009345794392516
AdjDE,73.83177570093457
RankAdjDE,73.83177570093457
AdjEM,10.2803738317757
RankAdjEM,89.7196261682243
StREM,14.018691588785046
StREM Rank,85.98130841121495
StROE,27.102803738317753
StROE Rank,72.89719626168224
StRDE,74.76635514018692
StRDE Rank,74.76635514018692
StRT+,86.91588785046729
StRT+ Rank,86.91588785046729
Barthag-AN,11.214953271028037
AN Rank,88.78504672897196
Barthag-H,18.69158878504673
AN-H AVG,8.411214953271028
ANH Rank,91.58878504672897
Barthag-Mom,25.233644859813083
Mom Rank,74.76635514018692
Barthag-N,14.953271028037381
NonCon Rank,85.04672897196261
AB6R,93.45794392523365
champfilter,95.32710280373831
champfilter rank,95.32710280373831
powerfilter,93.45794392523365
powerfilter rank,93.45794392523365
DV1,0.9345794392523363
DV2,1.8691588785046727
RPPF,0.0
RPPF Rank,100.0
INDEX Rank,99.06542056074767
YEAR,0.0
