,kenpom,tvk_H,tvk_A_N
0,Abilene Christian,Abilene Christian,Abilene Christian
1,Air Force,Air Force,Air Force
2,Akron,Akron,Akron
3,Alabama,Alabama,Alabama
4,Alabama A&M,Alabama A&M,Alabama A&M
5,Alabama St.,Alabama St.,Alabama St.
6,Albany,Albany,Albany
7,Alcorn St.,Alcorn St.,Alcorn St.
8,American,American,American
9,Appalachian St.,Appalachian St.,Appalachian St.
10,Arizona,Arizona,Arizona
11,Arizona St.,Arizona St.,Arizona St.
12,Arkansas,Arkansas,Arkansas
13,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff
14,Arkansas St.,Arkansas St.,Arkansas St.
15,Army,Army,Army
16,Auburn,Auburn,Auburn
17,Austin Peay,Austin Peay,Austin Peay
18,BYU,BYU,BYU
19,Ball St.,Ball St.,Ball St.
20,Baylor,Baylor,Baylor
21,Bellarmine,Bellarmine,Bellarmine
22,Belmont,Belmont,Belmont
23,Bethune Cookman,Bethune Cookman,Bethune Cookman
24,Binghamton,Binghamton,Binghamton
25,Boise St.,Boise St.,Boise St.
26,Boston College,Boston College,Boston College
27,Boston University,Boston University,Boston University
28,Bowling Green,Bowling Green,Bowling Green
29,Bradley,Bradley,Bradley
30,Brown,Brown,Brown
31,Bryant,Bryant,Bryant
32,Bucknell,Bucknell,Bucknell
33,Buffalo,Buffalo,Buffalo
34,Butler,Butler,Butler
35,CSUN,CSUN,CSUN
36,Cal Baptist,Cal Baptist,Cal Baptist
37,Cal Poly,Cal Poly,Cal Poly
38,Cal St. Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield
39,Cal St. Fullerton,Cal St. Fullerton,Cal St. Fullerton
40,California,California,California
41,Campbell,Campbell,Campbell
42,Canisius,Canisius,Canisius
43,Central Arkansas,Central Arkansas,Central Arkansas
44,Central Connecticut,Central Connecticut,Central Connecticut
45,Central Michigan,Central Michigan,Central Michigan
46,Charleston,Charleston,Charleston
47,Charleston Southern,Charleston Southern,Charleston Southern
48,Charlotte,Charlotte,Charlotte
49,Chattanooga,Chattanooga,Chattanooga
50,Chicago St.,Chicago St.,Chicago St.
51,Cincinnati,Cincinnati,Cincinnati
52,Clemson,Clemson,Clemson
53,Cleveland St.,Cleveland St.,Cleveland St.
54,Coastal Carolina,Coastal Carolina,Coastal Carolina
55,Colgate,Colgate,Colgate
56,Colorado,Colorado,Colorado
57,Colorado St.,Colorado St.,Colorado St.
58,Columbia,Columbia,Columbia
59,Connecticut,Connecticut,Connecticut
60,Coppin St.,Coppin St.,Coppin St.
61,Cornell,Cornell,Cornell
62,Creighton,Creighton,Creighton
63,Dartmouth,Dartmouth,Dartmouth
64,Davidson,Davidson,Davidson
65,Dayton,Dayton,Dayton
66,DePaul,DePaul,DePaul
67,Delaware,Delaware,Delaware
68,Delaware St.,Delaware St.,Delaware St.
69,Denver,Denver,Denver
70,Detroit Mercy,Detroit Mercy,Detroit Mercy
71,Drake,Drake,Drake
72,Drexel,Drexel,Drexel
73,Duke,Duke,Duke
74,Duquesne,Duquesne,Duquesne
75,East Carolina,East Carolina,East Carolina
76,East Tennessee St.,East Tennessee St.,East Tennessee St.
77,East Texas A&M,East Texas A&M,East Texas A&M
78,Eastern Illinois,Eastern Illinois,Eastern Illinois
79,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky
80,Eastern Michigan,Eastern Michigan,Eastern Michigan
81,Eastern Washington,Eastern Washington,Eastern Washington
82,Elon,Elon,Elon
83,Evansville,Evansville,Evansville
84,FIU,FIU,FIU
85,Fairfield,Fairfield,Fairfield
86,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson
87,Florida,Florida,Florida
88,Florida A&M,Florida A&M,Florida A&M
89,Florida Atlantic,Florida Atlantic,Florida Atlantic
90,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast
91,Florida St.,Florida St.,Florida St.
92,Fordham,Fordham,Fordham
93,Fresno St.,Fresno St.,Fresno St.
94,Furman,Furman,Furman
95,Gardner Webb,Gardner Webb,Gardner Webb
96,George Mason,George Mason,George Mason
97,George Washington,George Washington,George Washington
98,Georgetown,Georgetown,Georgetown
99,Georgia,Georgia,Georgia
100,Georgia Southern,Georgia Southern,Georgia Southern
101,Georgia St.,Georgia St.,Georgia St.
102,Georgia Tech,Georgia Tech,Georgia Tech
103,Gonzaga,Gonzaga,Gonzaga
104,Grambling St.,Grambling St.,Grambling St.
105,Grand Canyon,Grand Canyon,Grand Canyon
106,Green Bay,Green Bay,Green Bay
107,Hampton,Hampton,Hampton
108,Harvard,Harvard,Harvard
109,Hawaii,Hawaii,Hawaii
110,High Point,High Point,High Point
111,Hofstra,Hofstra,Hofstra
112,Holy Cross,Holy Cross,Holy Cross
113,Houston,Houston,Houston
114,Houston Christian,Houston Christian,Houston Christian
115,Howard,Howard,Howard
116,IU Indy,IU Indy,IU Indy
117,Idaho,Idaho,Idaho
118,Idaho St.,Idaho St.,Idaho St.
119,Illinois,Illinois,Illinois
120,Illinois Chicago,Illinois Chicago,Illinois Chicago
121,Illinois St.,Illinois St.,Illinois St.
122,Incarnate Word,Incarnate Word,Incarnate Word
123,Indiana,Indiana,Indiana
124,Indiana St.,Indiana St.,Indiana St.
125,Iona,Iona,Iona
